Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what year was basketball invented,2900,78,0.00,0.00,11100000,Informational,"Featured snippet, Reviews, Site links, Video","0.53,0.29,0.16,0.18,0.44,0.53,0.66,0.81,0.81,0.81,0.81,0.44"
what size basketball for 8 year old,1300,50,0.00,0.00,144000000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews","1.00,0.13,0.13,0.13,0.16,0.29,0.54,0.54,0.22,0.13,0.20,0.13"
what size basketball for 10 year old,590,46,0.00,0.00,171000000,Informational,Reviews,"0.04,0.05,0.00,0.03,0.07,0.20,0.22,0.36,0.20,0.16,0.16,1.00"
what size basketball for 13 year old,590,49,0.00,0.00,83900000,Informational,"Featured snippet, Image, People also ask, Reviews","0.20,0.20,0.16,0.20,0.24,0.45,1.00,0.81,0.20,0.10,0.16,0.20"
what size basketball for 7 year old,590,49,0.00,0.00,139000000,Informational,"Featured snippet, Image, People also ask, Reviews","0.16,0.02,0.01,0.10,0.08,0.36,0.66,1.00,0.30,0.20,0.30,0.30"
what size basketball for an 8 year old,590,50,0.00,0.00,78400000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews, Video","1.00,0.13,0.00,0.00,0.00"
what size basketball for 10 year olds,480,51,0.00,1.00,90500000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews","0.10,0.13,0.16,0.16,0.24,0.67,0.76,1.00,0.55,0.45,0.45,0.30"
what size basketball for 6 year old,480,49,0.00,0.00,134000000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews, Shopping ads, Video","0.59,0.32,0.21,0.21,0.26,0.59,1.00,0.88,0.39,0.26,0.32,0.26"
what size basketball for 5 year old,390,43,0.00,0.00,136000000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews","0.24,0.20,0.00,0.10,0.20,0.67,1.00,0.20,0.45,0.13,0.16,0.13"
who created basketball and what year,390,76,0.00,0.00,102000000,Informational,"FAQ, Featured snippet, People also ask, Site links, Video carousel","0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00"
who will coach duke basketball next year,390,62,0.00,0.00,17600000,Informational,"Featured snippet, People also ask, Video carousel","0.01,0.13,1.00,0.08"
what year was basketball created,320,73,0.00,0.00,125000000,Informational,"FAQ, Image pack, Instant answer, Knowledge panel, People also ask, Site links, Video carousel","0.36,0.29,0.09,0.06,0.44,0.29,0.36,0.66,0.66,0.54,0.54,0.36"
who beat university of virginia in basketball this year,320,67,0.00,0.00,97,Informational,"Instant answer, People also ask, Site links, Video","0.00,0.00,0.00,1.00,0.67,0.44,0.44,0.36,0.36,0.44,0.44"
what size basketball for 11 year old,260,50,0.00,0.00,125000000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews","0.23,0.29,0.12,0.12,0.15,0.36,1.00,1.00,0.23,0.00,0.29,0.23"
what size basketball for 8 year olds,260,50,0.70,1.00,79600000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews, Video","0.01,0.00,0.81,1.00,0.81"
what size basketball for 9 year old,260,50,0.00,0.00,95800000,Informational,"Featured snippet, Image pack, People also ask, Reviews","0.23,0.23,0.00,0.04,0.12,0.44,1.00,0.54,0.23,0.15,0.15,0.04"
who beat gonzaga basketball team this year,260,73,0.00,0.00,78,Informational,"Featured snippet, Image pack, People also ask, Video","0.00,0.00,0.72,0.00,0.00,0.00,1.00,1.00,0.01,0.01,0.01"
who did uconn women's basketball lose to this year,260,53,0.00,0.00,79,Informational,"Image pack, Instant answer, People also ask, Site links, Video carousel","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.01,0.01"
how many years can you play college basketball,210,49,0.00,0.00,2180000000,Informational,"Featured snippet, People also ask, Site links, Video","0.03,0.03,0.00,0.00,0.05,0.00,0.14,0.09,0.17,0.21,1.00,0.48"
what size basketball for 12 year old,210,45,0.00,0.00,130000000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews","0.35,0.00,0.29,0.18,0.06,0.66,1.00,0.81,0.10,0.35,0.81,0.81"
what year was the game of basketball invented,210,76,0.00,0.00,8180000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.66,0.44,0.54,0.44,0.05,0.11,0.28,0.11,0.35,0.08,0.23,0.05"
who did virginia cavaliers lose to in basketball this year,210,72,0.00,0.00,1090000,Informational,"Instant answer, People also ask, Site links, Video","0.00,0.00,0.00,0.00,1.00,0.54,0.66,0.44,0.44,0.66,0.66"
